sys=WIN版融资融券柜台,biz=120106,mid=L5100112,acct=L1100112,demo=客户销户
sys=,biz=120204,mid=L5202001,acct=99000259,demo=
sys=,biz=120204,mid=L5202001,acct=99000449,demo=
sys=,biz=120204,mid=L5202001,acct=99000509,demo=
sys=,biz=120204,mid=L5202001,acct=99001259,demo=
sys=WIN版融资融券柜台,biz=120204,mid=L5202001,acct=L1100132,demo=客户资料同步(同步到融资融券)
sys=WIN版融资融券柜台,biz=120204,mid=L5202001,acct=L1202001,demo=资产帐户开户
sys=,biz=120205,mid=L5202000,acct=99000259,demo=
sys=,biz=120205,mid=L5202000,acct=99000509,demo=
sys=,biz=120205,mid=L5202000,acct=99001259,demo=
sys=WIN版融资融券柜台,biz=120205,mid=L5202000,acct=L1202001,demo=资产帐户币种分户开户
sys=,biz=120240,mid=L5202002,acct=99000449,demo=
sys=WIN版融资融券柜台,biz=120240,mid=L5202002,acct=L1100132,demo=客户资料同步(同步到融资融券)
sys=WIN版融资融券柜台,biz=120240,mid=L5202002,acct=L1202002,demo=设置资产帐户状态
sys=,biz=120232,mid=L5202004,acct=99001333,demo=
sys=WIN版融资融券柜台,biz=120232,mid=L5202004,acct=L1202004,demo=资产帐户销户
sys=,biz=120301,mid=L5300100,acct=99000449,demo=
sys=WIN版融资融券柜台,biz=120301,mid=L5300100,acct=L1100132,demo=客户资料同步(同步到融资融券)
sys=,biz=120301,mid=L5300100,acct=99000260,demo=
sys=WIN版融资融券柜台,biz=120301,mid=L5300100,acct=L2100100,demo=证券账户开户
sys=,biz=120340,mid=L5300103,acct=99000449,demo=
sys=WIN版融资融券柜台,biz=120340,mid=L5300103,acct=L1100132,demo=客户资料同步(同步到融资融券)
sys=WIN版融资融券柜台,biz=120340,mid=L5300103,acct=L2100103,demo=证券账户状态变更
sys=WIN版融资融券柜台,biz=150101,mid=L5300105,acct=L2100105,demo=证券账户指定交易
sys=WIN版融资融券柜台,biz=150101,mid=L5300105,acct=L2161006,demo=证券账户批量指定交易
sys=,biz=811000,mid=L5100201,acct=L1100109,demo=
sys=,biz=811000,mid=L5100201,acct=L1100112,demo=
sys=,biz=811000,mid=L5100201,acct=L1100123,demo=
sys=,biz=811000,mid=L5100201,acct=L1100124,demo=
sys=,biz=811000,mid=L5100201,acct=99000361,demo=
sys=,biz=811000,mid=L5100201,acct=L1100120,demo=
sys=,biz=811000,mid=L5100201,acct=L1190083,demo=
sys=,biz=811000,mid=L5100201,acct=99000163,demo=
sys=,biz=811000,mid=L5100201,acct=99000164,demo=
sys=WIN版融资融券柜台,biz=811000,mid=L5100201,acct=L1190163,demo=一户通客户 密码修改和密码重置
sys=WIN版融资融券柜台,biz=811000,mid=L5100201,acct=L1190164,demo=一户通客户关联系统挂接
sys=WIN版融资融券柜台,biz=811000,mid=L5100201,acct=L1265000,demo=根据前端送来的入参判断融资融券柜台是否存在账户信息(目前直接调用柜台接口)
sys=,biz=811002,mid=L5100202,acct=99001333,demo=
sys=,biz=811002,mid=L5100202,acct=L1202002,demo=
sys=,biz=811002,mid=L5100202,acct=L1202004,demo=
sys=WIN版融资融券柜台,biz=811002,mid=L5100202,acct=L1265000,demo=验证资金账户是否存在
sys=WIN版融资融券柜台,biz=811004,mid=L5100203,acct=L1160817,demo=股东限制信息查询
sys=WIN版融资融券柜台,biz=811004,mid=L5100203,acct=L1265000,demo=查询股东帐户信息
sys=,biz=811004,mid=L5100203,acct=L2100101,demo=
sys=,biz=811004,mid=L5100203,acct=L2100103,demo=
sys=,biz=811004,mid=L5100203,acct=L2100110,demo=
sys=WIN版融资融券柜台,biz=856005,mid=L5100204,acct=L1265000,demo=查询创业板自然人帐户申报信息
sys=,biz=120108,mid=L5100003,acct=99000361,demo=
sys=,biz=120108,mid=L5100003,acct=L1100120,demo=
sys=,biz=120108,mid=L5100003,acct=L1190083,demo=
sys=,biz=120108,mid=L5100003,acct=99000449,demo=
sys=,biz=120108,mid=L5100003,acct=99001326,demo=
sys=,biz=120108,mid=L5100003,acct=99001327,demo=
sys=,biz=120108,mid=L5100003,acct=99001346,demo=
sys=,biz=120108,mid=L5100003,acct=99003039,demo=
sys=WIN版融资融券柜台,biz=120108,mid=L5100003,acct=L1100003,demo=用户重要资料修改
sys=WIN版融资融券柜台,biz=120108,mid=L5100003,acct=L1100004,demo=用户普通资料修改
sys=WIN版融资融券柜台,biz=120108,mid=L5100003,acct=L1100132,demo=客户资料同步(同步到融资融券)
sys=WIN版融资融券柜台,biz=120108,mid=L5100003,acct=L1100219,demo=操作员信息同步到OTC，对于win版OTC系统时，支持密码同步，其他不支持柜员密码同步功能
sys=WIN版融资融券柜台,biz=120108,mid=L5100003,acct=L1100228,demo=用户非关键信息修改
sys=WIN版融资融券柜台,biz=120108,mid=L5100003,acct=L1100229,demo=用户关键信息修改
sys=WIN版融资融券柜台,biz=120108,mid=L5100003,acct=L1192063,demo=统一认证信息同步
sys=,biz=120107,mid=L5100004,acct=99000361,demo=
sys=,biz=120107,mid=L5100004,acct=L1100120,demo=
sys=,biz=120107,mid=L5100004,acct=L1190083,demo=
sys=,biz=120107,mid=L5100004,acct=410320,demo=
sys=,biz=120107,mid=L5100004,acct=99000449,demo=
sys=,biz=120107,mid=L5100004,acct=99001327,demo=
sys=,biz=120107,mid=L5100004,acct=99001346,demo=
sys=WIN版融资融券柜台,biz=120107,mid=L5100004,acct=L1100004,demo=用户普通资料修改
sys=WIN版融资融券柜台,biz=120107,mid=L5100004,acct=L1100132,demo=客户资料同步(同步到融资融券)
sys=WIN版融资融券柜台,biz=120107,mid=L5100004,acct=L1100219,demo=操作员信息同步到OTC，对于win版OTC系统时，支持密码同步，其他不支持柜员密码同步功能
sys=WIN版融资融券柜台,biz=120107,mid=L5100004,acct=L1100228,demo=用户非关键信息修改
sys=WIN版融资融券柜台,biz=120121,mid=L5100107,acct=L1100107,demo=客户所属类别修改
sys=WIN版融资融券柜台,biz=30120207,mid=L5100105,acct=L1100105,demo=客户可操作渠道修改
sys=,biz=120195,mid=L5100110,acct=99000255,demo=
sys=,biz=120195,mid=L5100110,acct=99000449,demo=
sys=WIN版融资融券柜台,biz=120195,mid=L5100110,acct=L1100110,demo=客户其它资料修改
sys=WIN版融资融券柜台,biz=120195,mid=L5100110,acct=L1100132,demo=客户资料同步(同步到融资融券)
sys=,biz=30120126,mid=L5100010,acct=99000256,demo=
sys=,biz=30120126,mid=L5100010,acct=99000338,demo=
sys=,biz=30120126,mid=L5100010,acct=99000543,demo=
sys=WIN版融资融券柜台,biz=30120126,mid=L5100010,acct=L1100016,demo=设置用户的职业资料
sys=WIN版融资融券柜台,biz=30120126,mid=L5100010,acct=L1100237,demo=用户职业信息资料维护
sys=,biz=30120125,mid=L5100011,acct=99000256,demo=
sys=,biz=30120125,mid=L5100011,acct=99000547,demo=
sys=WIN版融资融券柜台,biz=30120125,mid=L5100011,acct=L1100016,demo=设置用户的联系人资料
sys=WIN版融资融券柜台,biz=30120125,mid=L5100011,acct=L1100813,demo=用户联系人资料维护
sys=,biz=30120124,mid=L5100009,acct=99000256,demo=
sys=,biz=30120124,mid=L5100009,acct=99000545,demo=
sys=WIN版融资融券柜台,biz=30120124,mid=L5100009,acct=L1100016,demo=设置机构用户资料
sys=WIN版融资融券柜台,biz=30120124,mid=L5100009,acct=L1100239,demo=机构用户基本信息&机构用户公司资料维护
sys=,biz=120303,mid=L5300102,acct=99000519,demo=
sys=WIN版融资融券柜台,biz=120303,mid=L5300102,acct=L2100102,demo=证券账户登记资料变更
sys=WIN版融资融券柜台,biz=150102,mid=L5100104,acct=L2100104,demo=证券账户转托管
sys=,biz=120302,mid=L5300101,acct=99000418,demo=
sys=,biz=120302,mid=L5300101,acct=99000426,demo=
sys=WIN版融资融券柜台,biz=120302,mid=L5300101,acct=L1100148,demo=客户港股通协议维护及审核
sys=WIN版融资融券柜台,biz=120302,mid=L5300101,acct=L2100101,demo=证券账户销户
sys=,biz=811502,mid=L5262002,acct=99000323,demo=
sys=,biz=811502,mid=L5262002,acct=L1100140,demo=
sys=,biz=811502,mid=L5262002,acct=99000239,demo=
sys=,biz=811502,mid=L5262002,acct=99003105,demo=
sys=,biz=811502,mid=L5262002,acct=L1100123,demo=
sys=,biz=811502,mid=L5262002,acct=L1100132,demo=
sys=,biz=811502,mid=L5262002,acct=L1100133,demo=
sys=,biz=811502,mid=L5262002,acct=L1100135,demo=
sys=,biz=811502,mid=L5262002,acct=L1100148,demo=
sys=,biz=811502,mid=L5262002,acct=L1100217,demo=
sys=,biz=811502,mid=L5262002,acct=L1190025,demo=
sys=,biz=811502,mid=L5262002,acct=L1190036,demo=
sys=,biz=811502,mid=L5262002,acct=L1190108,demo=
sys=,biz=811502,mid=L5262002,acct=L1190123,demo=
sys=,biz=811502,mid=L5262002,acct=L1190212,demo=
sys=,biz=811502,mid=L5262002,acct=L1190235,demo=
sys=,biz=811502,mid=L5262002,acct=L1192222,demo=
sys=,biz=811502,mid=L5262002,acct=99000525,demo=
sys=WIN版融资融券柜台,biz=811502,mid=L5262002,acct=L1192041,demo=查询客户当前额度，以及能申请的变更额度
sys=WIN版融资融券柜台,biz=811502,mid=L5262002,acct=L1202545,demo=信用账户最大可授信额度查询
sys=WIN版融资融券柜台,biz=811502,mid=L5262002,acct=L1262002,demo=客户资金资产信息查询
sys=WIN版融资融券柜台,biz=811503,mid=L5160300,acct=L2160300,demo=股份查询
sys=,biz=30120208,mid=L5262562,acct=99001262,demo=
sys=WIN版融资融券柜台,biz=30120208,mid=L5262562,acct=L1262562,demo=查询客户签约信息
sys=,biz=168923,mid=L5202538,acct=99001342,demo=
sys=,biz=168923,mid=L5202538,acct=99001343,demo=
